Workflow,State,Permission,Roles
env_licence_workflow,FT_opinion,Delete objects,"Editor, Contributor, Manager"
env_licence_workflow,FT_opinion,Add portal content,"Editor, Contributor, Manager"
env_licence_workflow,FT_opinion,Manage properties,"Contributor, Editor, Manager"
env_licence_workflow,FT_opinion,Access contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,FT_opinion,View,"Reader, Editor, Contributor, Manager"
env_licence_workflow,refused,Review portal content,"Reviewer, Contributor, Manager"
env_licence_workflow,refused,Modify portal content,"Editor, Contributor, Manager"
env_licence_workflow,refused,Acces contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,refused,Modify view template,Manager
env_licence_workflow,refused,urban: Add CODT_Inquiry,"Editor, Contributor, Manager"
env_licence_workflow,refused,Delete objects,"Editor, Contributor, Manager"
env_licence_workflow,refused,Add portal content,"Editor, Contributor, Manager"
env_licence_workflow,refused,Manage properties,"Contributor, Editor, Manager"
env_licence_workflow,refused,Access contents information,"Reader, Editor, Contributor, Manager"
env_licence_workflow,refused,View,"Reader, Editor, Contributor, Manager"
codt_buildlicence_workflow,frozen_suspension,urban: Add UrbanEvent,"Contributor, Editor, Manager"
codt_buildlicence_workflow,frozen_suspension,ATContentTypes: Add File,"Contributor, Editor, Manager"
codt_buildlicence_workflow,frozen_suspension,List folder contents,"Contributor, Editor, Manager, Reader, RoadEditor, RoadReader"
codt_buildlicence_workflow,frozen_suspension,urban: Add Applicant,"Contributor, Editor, Manager"
